epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.4228,1.62422,3.70183,1.51864,0.1224,0.26618,0.0971,0.05277,1.48787,3.66865,1.4805,0.0701648,0.00331502,0.00331502
2,88.1772,1.48182,2.74574,1.42227,0.26264,0.38758,0.25535,0.15548,1.31579,2.5252,1.40122,0.0398357,0.00631926,0.00631926
3,127.241,1.43488,2.36991,1.38645,0.39698,0.41459,0.37157,0.23108,1.31039,2.41881,1.3649,0.00917665,0.0089935,0.0089935
4,165.381,1.42018,2.19651,1.38258,0.30452,0.44274,0.37562,0.23572,1.27358,2.54156,1.34899,0.008515,0.008515,0.008515
5,203.957,1.40366,2.06512,1.36762,0.51203,0.54306,0.56308,0.34764,1.25189,1.82591,1.33705,0.00802,0.00802,0.00802
6,241.873,1.35612,1.8894,1.34098,0.50075,0.59054,0.59691,0.36955,1.22582,1.69874,1.33507,0.007525,0.007525,0.007525
7,281.539,1.34643,1.81479,1.34486,0.5947,0.55503,0.59875,0.3802,1.23687,1.73763,1.33414,0.00703,0.00703,0.00703
8,322.715,1.33169,1.72521,1.33306,0.62083,0.6377,0.67917,0.43489,1.21073,1.50421,1.31163,0.006535,0.006535,0.006535
9,362.061,1.32253,1.65058,1.3284,0.66854,0.65538,0.72175,0.46762,1.20195,1.37659,1.29862,0.00604,0.00604,0.00604
10,404.212,1.301,1.56669,1.31881,0.66198,0.6925,0.74071,0.48553,1.17674,1.30754,1.2796,0.005545,0.005545,0.005545
11,445.978,1.2051,1.36697,1.31687,0.6042,0.65291,0.68448,0.42413,1.2108,1.46648,1.32593,0.00505,0.00505,0.00505
12,482.978,1.17599,1.27873,1.29374,0.73521,0.73441,0.81073,0.53249,1.1681,1.17019,1.27758,0.004555,0.004555,0.004555
13,522.657,1.16188,1.17765,1.28321,0.75179,0.78475,0.83126,0.54877,1.13027,1.08712,1.25423,0.00406,0.00406,0.00406
14,561.131,1.14291,1.11267,1.26803,0.75128,0.7698,0.82908,0.54485,1.1204,1.08893,1.25608,0.003565,0.003565,0.003565
15,600.646,1.13777,1.06821,1.26756,0.8129,0.82125,0.8715,0.57346,1.10099,0.98913,1.24632,0.00307,0.00307,0.00307
16,638.988,1.1119,1.01635,1.23977,0.78866,0.80987,0.86143,0.57217,1.10974,0.98632,1.22371,0.002575,0.002575,0.002575
17,676.782,1.09535,0.98735,1.23366,0.82315,0.83802,0.88184,0.58931,1.10409,0.91523,1.22105,0.00208,0.00208,0.00208
18,714.205,1.08515,0.93761,1.2308,0.82234,0.84601,0.88835,0.59548,1.07613,0.89781,1.2161,0.001585,0.001585,0.001585
19,750.65,1.06392,0.89879,1.22119,0.82837,0.86597,0.8962,0.6017,1.09698,0.86927,1.21973,0.00109,0.00109,0.00109
20,789.162,1.05486,0.88166,1.21011,0.83536,0.87222,0.89928,0.60328,1.08768,0.85331,1.21276,0.000595,0.000595,0.000595
